date,category,commodity,commodity_id,unit,price,usdprice
2010-08-15,cereals and tubers,Pasta,112,KG,4.7,0.82
2010-08-15,cereals and tubers,Potatoes,83,KG,1.81,0.32
2010-08-15,cereals and tubers,Rice,52,KG,3.98,0.7
2010-08-15,cereals and tubers,Wheat flour,58,KG,3.44,0.6
2010-08-15,"meat, fish and eggs",Meat (beef),141,KG,50.22,8.81
2010-08-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,17,2.98
2010-08-15,miscellaneous food,Sugar,97,KG,4.28,0.75
2010-08-15,oil and fats,Ghee (natural),107,KG,33.42,5.86
2010-08-15,oil and fats,Oil (maize),362,800 G,8.76,1.54
2010-08-15,pulses and nuts,Lentils,108,KG,8.89,1.56
2010-08-15,vegetables and fruits,Onions (red),110,KG,1.7,0.3
2010-08-15,vegetables and fruits,Tomatoes,114,KG,2.2,0.39
2010-09-15,cereals and tubers,Pasta,112,KG,5.05,0.88
2010-09-15,cereals and tubers,Potatoes,83,KG,1.99,0.35
2010-09-15,cereals and tubers,Rice,52,KG,3.92,0.69
2010-09-15,cereals and tubers,Wheat flour,58,KG,4.07,0.71
2010-09-15,"meat, fish and eggs",Meat (beef),141,KG,53.26,9.33
2010-09-15,miscellaneous food,Sugar,97,KG,4.38,0.77
2010-09-15,oil and fats,Ghee (artificial),106,KG,9.86,1.73
2010-09-15,oil and fats,Oil (maize),362,800 G,8.8,1.54
2010-09-15,pulses and nuts,Lentils,108,KG,8.91,1.56
2010-09-15,vegetables and fruits,Garlic,105,KG,11.91,2.09
2010-09-15,vegetables and fruits,Onions (red),110,KG,1.96,0.34
2010-09-15,vegetables and fruits,Onions (white),111,KG,1.96,0.34
2010-09-15,vegetables and fruits,Tomatoes,114,KG,3.56,0.62
2010-10-15,cereals and tubers,Wheat flour,58,KG,4.09,0.72
2010-10-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,15.13,2.66
2010-10-15,miscellaneous food,Sugar,97,KG,4.63,0.81
2010-10-15,oil and fats,Ghee (artificial),106,KG,9.98,1.75
2010-10-15,oil and fats,Ghee (natural),107,KG,34.76,6.1
2010-10-15,oil and fats,Oil (maize),362,800 G,8.88,1.56
2010-10-15,pulses and nuts,"Beans (fava, dry)",385,KG,6.28,1.1
2010-10-15,pulses and nuts,Lentils,108,KG,9.23,1.62
2010-10-15,vegetables and fruits,Garlic,105,KG,13.01,2.28
2010-10-15,vegetables and fruits,Onions (white),111,KG,2.18,0.38
2010-10-15,vegetables and fruits,Tomatoes,114,KG,7.41,1.3
2010-11-15,cereals and tubers,Pasta,112,KG,5.03,0.87
2010-11-15,cereals and tubers,Potatoes,83,KG,1.97,0.34
2010-11-15,cereals and tubers,Rice,52,KG,3.84,0.67
2010-11-15,"meat, fish and eggs",Meat (beef),141,KG,57.02,9.92
2010-11-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,14.5,2.52
2010-11-15,miscellaneous food,Sugar,97,KG,4.82,0.84
2010-11-15,oil and fats,Ghee (artificial),106,KG,9.99,1.74
2010-11-15,oil and fats,Ghee (natural),107,KG,35,6.09
2010-11-15,oil and fats,Oil (maize),362,800 G,9.08,1.58
2010-11-15,pulses and nuts,Lentils,108,KG,9.49,1.65
2010-11-15,vegetables and fruits,Onions (white),111,KG,2.36,0.41
2010-12-15,cereals and tubers,Pasta,112,KG,5.03,0.87
2010-12-15,cereals and tubers,Potatoes,83,KG,1.53,0.26
2010-12-15,cereals and tubers,Rice,52,KG,3.9,0.67
2010-12-15,"meat, fish and eggs",Meat (beef),141,KG,55.57,9.6
2010-12-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.05,2.25
2010-12-15,miscellaneous food,Sugar,97,KG,6.19,1.07
2010-12-15,oil and fats,Ghee (natural),107,KG,35.27,6.09
2010-12-15,oil and fats,Oil (maize),362,800 G,9.6,1.66
2010-12-15,pulses and nuts,"Beans (fava, dry)",385,KG,6.9,1.19
2010-12-15,pulses and nuts,Lentils,108,KG,9.47,1.64
2010-12-15,vegetables and fruits,Garlic,105,KG,12.94,2.23
2010-12-15,vegetables and fruits,Onions (red),110,KG,2.65,0.46
2011-01-15,cereals and tubers,Pasta,112,KG,5.01,0.86
2011-01-15,cereals and tubers,Potatoes,83,KG,1.42,0.25
2011-01-15,cereals and tubers,Wheat flour,58,KG,4.02,0.69
2011-01-15,"meat, fish and eggs",Meat (beef),141,KG,55.9,9.64
2011-01-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.27,2.29
2011-01-15,oil and fats,Ghee (natural),107,KG,35.6,6.14
2011-01-15,oil and fats,Oil (maize),362,800 G,9.89,1.71
2011-01-15,pulses and nuts,"Beans (fava, dry)",385,KG,7.49,1.29
