date,category,commodity,commodity_id,unit,price,usdprice,calories (Kcal),protein (g),carbs (g),fat (g),iron (mg),cluster,PCA1,PCA2
2010-08-15,cereals and tubers,Pasta,112,KG,4.7,0.82,370,13.0,75.0,1.5,1.3,1,-1.0488438683166288,-0.9086166896216479
2010-08-15,cereals and tubers,Potatoes,83,KG,1.81,0.32,77,2.0,17.0,0.1,0.8,1,-0.6694419550759877,-1.552907293554512
2010-08-15,cereals and tubers,Rice,52,KG,3.98,0.7,360,7.0,80.0,0.6,0.8,1,-0.8703242878588019,-1.3183191121748825
2010-08-15,cereals and tubers,Wheat flour,58,KG,3.44,0.6,364,10.0,76.0,1.0,1.2,1,-0.9834048176222028,-1.1105206079801055
2010-08-15,"meat, fish and eggs",Meat (beef),141,KG,50.22,8.81,250,26.0,0.0,15.0,2.6,3,-0.3459633880342103,2.996927729016215
2010-08-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,17.0,2.98,239,27.0,0.0,14.0,1.3,3,-0.6314829110544047,1.689887375297318
2010-08-15,miscellaneous food,Sugar,97,KG,4.28,0.75,387,0.0,100.0,0.0,0.1,4,-0.5136596705977745,-2.0345958249912144
2010-08-15,oil and fats,Ghee (natural),107,KG,33.42,5.86,883,0.0,0.0,99.8,0.0,0,4.05609419765855,1.2968855853328187
2010-08-15,oil and fats,Oil (maize),362,800 G,8.76,1.54,884,0.0,0.0,100.0,0.0,0,3.7507679288683144,0.4852051683141738
2010-08-15,pulses and nuts,Lentils,108,KG,8.89,1.56,353,25.0,60.0,1.1,7.5,2,-2.652036376336743,2.681457667677562
2010-08-15,vegetables and fruits,Onions (red),110,KG,1.7,0.3,40,1.1,9.0,0.1,0.2,1,-0.38609396000642404,-1.9094304044370811
2010-08-15,vegetables and fruits,Tomatoes,114,KG,2.2,0.39,18,0.9,3.9,0.2,0.3,1,-0.3788219523689411,-1.876921327050849
2010-09-15,cereals and tubers,Pasta,112,KG,5.05,0.88,370,13.0,75.0,1.5,1.3,1,-1.0445469224628745,-0.897320660916558
2010-09-15,cereals and tubers,Potatoes,83,KG,1.99,0.35,77,2.0,17.0,0.1,0.8,1,-0.6672934821491106,-1.547259279201967
2010-09-15,cereals and tubers,Rice,52,KG,3.92,0.69,360,7.0,80.0,0.6,0.8,1,-0.8710404455010942,-1.3202017836257307
2010-09-15,cereals and tubers,Wheat flour,58,KG,4.07,0.71,364,10.0,76.0,1.0,1.2,1,-0.9755270835569867,-1.0898112220207739
2010-09-15,"meat, fish and eggs",Meat (beef),141,KG,53.26,9.33,250,26.0,0.0,15.0,2.6,3,-0.308723190635007,3.0948266444603276
2010-09-15,miscellaneous food,Sugar,97,KG,4.38,0.77,387,0.0,100.0,0.0,0.1,4,-0.5122273553131897,-2.0308304820895176
2010-09-15,oil and fats,Ghee (artificial),106,KG,9.86,1.73,884,0.0,0.0,100.0,0.0,0,3.7643749240718694,0.520975925880292
2010-09-15,oil and fats,Oil (maize),362,800 G,8.8,1.54,884,0.0,0.0,100.0,0.0,0,3.7507679288683144,0.4852051683141738
2010-09-15,pulses and nuts,Lentils,108,KG,8.91,1.56,353,25.0,60.0,1.1,7.5,2,-2.652036376336743,2.681457667677562
2010-09-15,vegetables and fruits,Garlic,105,KG,11.91,2.09,149,6.4,33.0,0.5,1.7,1,-0.6617682537531986,-1.082342844992282
2010-09-15,vegetables and fruits,Onions (red),110,KG,1.96,0.34,40,1.1,9.0,0.1,0.2,1,-0.38322932943725463,-1.901899718633688
2010-09-15,vegetables and fruits,Onions (white),111,KG,1.96,0.34,40,1.1,9.0,0.1,0.2,1,-0.38322932943725463,-1.901899718633688
2010-09-15,vegetables and fruits,Tomatoes,114,KG,3.56,0.62,18,0.9,3.9,0.2,0.3,1,-0.3623503265962166,-1.8336198836813378
2010-10-15,cereals and tubers,Wheat flour,58,KG,4.09,0.72,364,10.0,76.0,1.0,1.2,1,-0.9748109259146943,-1.0879285505699257
2010-10-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,15.13,2.66,239,27.0,0.0,14.0,1.3,3,-0.6543999556077605,1.6296418888701718
2010-10-15,miscellaneous food,Sugar,97,KG,4.63,0.81,387,0.0,100.0,0.0,0.1,4,-0.5093627247440203,-2.0232997962861243
2010-10-15,oil and fats,Ghee (artificial),106,KG,9.98,1.75,884,0.0,0.0,100.0,0.0,0,3.7658072393564543,0.5247412687819886
2010-10-15,oil and fats,Ghee (natural),107,KG,34.76,6.1,883,0.0,0.0,99.8,0.0,0,4.073281981073567,1.3420697001531783
2010-10-15,oil and fats,Oil (maize),362,800 G,8.88,1.56,884,0.0,0.0,100.0,0.0,0,3.752200244152899,0.4889705112158705
2010-10-15,pulses and nuts,"Beans (fava, dry)",385,KG,6.28,1.1,341,26.0,58.0,1.5,6.7,2,-2.593840767695522,2.491959773364986
2010-10-15,pulses and nuts,Lentils,108,KG,9.23,1.62,353,25.0,60.0,1.1,7.5,2,-2.6477394304829884,2.692753696382652
2010-10-15,vegetables and fruits,Garlic,105,KG,13.01,2.28,149,6.4,33.0,0.5,1.7,1,-0.6481612585496436,-1.0465720874261641
2010-10-15,vegetables and fruits,Onions (white),111,KG,2.18,0.38,40,1.1,9.0,0.1,0.2,1,-0.3803646988680851,-1.8943690328302947
2010-10-15,vegetables and fruits,Tomatoes,114,KG,7.41,1.3,18,0.9,3.9,0.2,0.3,1,-0.31365160692033534,-1.7055982250236523
