commodity,calories (Kcal),protein (g),carbs (g),fat (g),iron (mg)
Pasta,370,13.0,75.0,1.5,1.3
Potatoes,77,2.0,17.0,0.1,0.8
Rice,360,7.0,80.0,0.6,0.8
Wheat flour,364,10.0,76.0,1.0,1.2
Meat (beef),250,26.0,0.0,15.0,2.6
"Meat (chicken, frozen)",239,27.0,0.0,14.0,1.3
Sugar,387,0.0,100.0,0.0,0.1
Ghee (natural),883,0.0,0.0,99.8,0.0
Oil (maize),884,0.0,0.0,100.0,0.0
Lentils,353,25.0,60.0,1.1,7.5
Onions (red),40,1.1,9.0,0.1,0.2
Tomatoes,18,0.9,3.9,0.2,0.3
Ghee (artificial),884,0.0,0.0,100.0,0.0
Garlic,149,6.4,33.0,0.5,1.7
Onions (white),40,1.1,9.0,0.1,0.2
"Beans (fava, dry)",341,26.0,58.0,1.5,6.7
Eggs,155,13.0,1.1,11.0,1.2
Oil (sunflower),884,0.0,0.0,100.0,0.0
Fish (tilapia),128,26.0,0.0,3.0,0.6
Cheese,402,25.0,1.3,33.0,0.7
Cheese (picon),300,10.0,5.0,26.0,0.1
Milk,42,3.4,5.0,1.0,0.0
Oil (mixed),884,0.0,0.0,100.0,0.0
"Meat (beef, without bones)",215,28.0,0.0,10.0,3.0
"Wheat flour (unpacked, 72%)",364,10.5,74.0,1.2,1.1
Eggs (medium size),143,12.6,0.7,9.5,1.1
"Cheese (local, processed, Nesto)",310,11.0,4.0,28.0,0.1
Oil (cotton),884,0.0,0.0,100.0,0.0
"Meat (chicken, farm)",215,18.0,0.0,15.0,1.0
Cucumbers (medium sized),15,0.7,3.6,0.1,0.3
Milk (fresh),61,3.2,4.8,3.3,0.0
