date,category,commodity,commodity_id,unit,price,usdprice,calories (Kcal),protein (g),carbs (g),fat (g),iron (mg)
2010-08-15,cereals and tubers,Pasta,112,KG,4.7,0.82,370,13.0,75.0,1.5,1.3
2010-08-15,cereals and tubers,Potatoes,83,KG,1.81,0.32,77,2.0,17.0,0.1,0.8
2010-08-15,cereals and tubers,Rice,52,KG,3.98,0.7,360,7.0,80.0,0.6,0.8
2010-08-15,cereals and tubers,Wheat flour,58,KG,3.44,0.6,364,10.0,76.0,1.0,1.2
2010-08-15,"meat, fish and eggs",Meat (beef),141,KG,50.22,8.81,250,26.0,0.0,15.0,2.6
2010-08-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,17.0,2.98,239,27.0,0.0,14.0,1.3
2010-08-15,miscellaneous food,Sugar,97,KG,4.28,0.75,387,0.0,100.0,0.0,0.1
2010-08-15,oil and fats,Ghee (natural),107,KG,33.42,5.86,883,0.0,0.0,99.8,0.0
2010-08-15,oil and fats,Oil (maize),362,800 G,8.76,1.54,884,0.0,0.0,100.0,0.0
2010-08-15,pulses and nuts,Lentils,108,KG,8.89,1.56,353,25.0,60.0,1.1,7.5
2010-08-15,vegetables and fruits,Onions (red),110,KG,1.7,0.3,40,1.1,9.0,0.1,0.2
2010-08-15,vegetables and fruits,Tomatoes,114,KG,2.2,0.39,18,0.9,3.9,0.2,0.3
2010-09-15,cereals and tubers,Pasta,112,KG,5.05,0.88,370,13.0,75.0,1.5,1.3
2010-09-15,cereals and tubers,Potatoes,83,KG,1.99,0.35,77,2.0,17.0,0.1,0.8
2010-09-15,cereals and tubers,Rice,52,KG,3.92,0.69,360,7.0,80.0,0.6,0.8
2010-09-15,cereals and tubers,Wheat flour,58,KG,4.07,0.71,364,10.0,76.0,1.0,1.2
2010-09-15,"meat, fish and eggs",Meat (beef),141,KG,53.26,9.33,250,26.0,0.0,15.0,2.6
2010-09-15,miscellaneous food,Sugar,97,KG,4.38,0.77,387,0.0,100.0,0.0,0.1
2010-09-15,oil and fats,Ghee (artificial),106,KG,9.86,1.73,884,0.0,0.0,100.0,0.0
2010-09-15,oil and fats,Oil (maize),362,800 G,8.8,1.54,884,0.0,0.0,100.0,0.0
2010-09-15,pulses and nuts,Lentils,108,KG,8.91,1.56,353,25.0,60.0,1.1,7.5
2010-09-15,vegetables and fruits,Garlic,105,KG,11.91,2.09,149,6.4,33.0,0.5,1.7
2010-09-15,vegetables and fruits,Onions (red),110,KG,1.96,0.34,40,1.1,9.0,0.1,0.2
2010-09-15,vegetables and fruits,Onions (white),111,KG,1.96,0.34,40,1.1,9.0,0.1,0.2
2010-09-15,vegetables and fruits,Tomatoes,114,KG,3.56,0.62,18,0.9,3.9,0.2,0.3
2010-10-15,cereals and tubers,Wheat flour,58,KG,4.09,0.72,364,10.0,76.0,1.0,1.2
2010-10-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,15.13,2.66,239,27.0,0.0,14.0,1.3
2010-10-15,miscellaneous food,Sugar,97,KG,4.63,0.81,387,0.0,100.0,0.0,0.1
2010-10-15,oil and fats,Ghee (artificial),106,KG,9.98,1.75,884,0.0,0.0,100.0,0.0
2010-10-15,oil and fats,Ghee (natural),107,KG,34.76,6.1,883,0.0,0.0,99.8,0.0
2010-10-15,oil and fats,Oil (maize),362,800 G,8.88,1.56,884,0.0,0.0,100.0,0.0
2010-10-15,pulses and nuts,"Beans (fava, dry)",385,KG,6.28,1.1,341,26.0,58.0,1.5,6.7
2010-10-15,pulses and nuts,Lentils,108,KG,9.23,1.62,353,25.0,60.0,1.1,7.5
2010-10-15,vegetables and fruits,Garlic,105,KG,13.01,2.28,149,6.4,33.0,0.5,1.7
2010-10-15,vegetables and fruits,Onions (white),111,KG,2.18,0.38,40,1.1,9.0,0.1,0.2
2010-10-15,vegetables and fruits,Tomatoes,114,KG,7.41,1.3,18,0.9,3.9,0.2,0.3
2010-11-15,cereals and tubers,Pasta,112,KG,5.03,0.87,370,13.0,75.0,1.5,1.3
2010-11-15,cereals and tubers,Potatoes,83,KG,1.97,0.34,77,2.0,17.0,0.1,0.8
2010-11-15,cereals and tubers,Rice,52,KG,3.84,0.67,360,7.0,80.0,0.6,0.8
2010-11-15,"meat, fish and eggs",Meat (beef),141,KG,57.02,9.92,250,26.0,0.0,15.0,2.6
2010-11-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,14.5,2.52,239,27.0,0.0,14.0,1.3
2010-11-15,miscellaneous food,Sugar,97,KG,4.82,0.84,387,0.0,100.0,0.0,0.1
2010-11-15,oil and fats,Ghee (artificial),106,KG,9.99,1.74,884,0.0,0.0,100.0,0.0
2010-11-15,oil and fats,Ghee (natural),107,KG,35.0,6.09,883,0.0,0.0,99.8,0.0
2010-11-15,oil and fats,Oil (maize),362,800 G,9.08,1.58,884,0.0,0.0,100.0,0.0
2010-11-15,pulses and nuts,Lentils,108,KG,9.49,1.65,353,25.0,60.0,1.1,7.5
2010-11-15,vegetables and fruits,Onions (white),111,KG,2.36,0.41,40,1.1,9.0,0.1,0.2
2010-12-15,cereals and tubers,Pasta,112,KG,5.03,0.87,370,13.0,75.0,1.5,1.3
2010-12-15,cereals and tubers,Potatoes,83,KG,1.53,0.26,77,2.0,17.0,0.1,0.8
2010-12-15,cereals and tubers,Rice,52,KG,3.9,0.67,360,7.0,80.0,0.6,0.8
2010-12-15,"meat, fish and eggs",Meat (beef),141,KG,55.57,9.6,250,26.0,0.0,15.0,2.6
2010-12-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.05,2.25,239,27.0,0.0,14.0,1.3
2010-12-15,miscellaneous food,Sugar,97,KG,6.19,1.07,387,0.0,100.0,0.0,0.1
2010-12-15,oil and fats,Ghee (natural),107,KG,35.27,6.09,883,0.0,0.0,99.8,0.0
